伝票日付,伝票区分,伝票区分名,委託区分,委託区分名,担当者コード,担当者名,得意先コード,得意先カナ,雑コード,送荷先コード,送荷先カナ,製品部品コード,製品部品カナ,級区分,数量,単価,金額,備考
20220914,10,　売上,0,,4921,企画部,332040,ﾗｸﾃﾝ ﾐﾉﾙｾﾚｸｼﾖﾝ(ｴﾝｹﾞｲ),0,646463,ｶﾂﾉﾄﾓﾔ,2625701,CAZ-100L(ｱｻﾞﾐﾝ)10ｲﾘ,1,2,6500,13000,ﾀﾝｶﾃｲｾｲ
20220914,10,　売上,0,,4921,企画部,331040,ﾗｸﾃﾝｲﾁﾊﾞ ﾐﾉﾙｾﾚｸｼﾖﾝ,0,650744,ｻﾄｳﾄｼﾔ,6029201,HS-037A(ﾂｷﾋﾒ),1,-1,20000,-20000,ﾀﾝｶﾃｲｾｲ
20220914,10,　売上,0,,4921,企画部,331040,ﾗｸﾃﾝｲﾁﾊﾞ ﾐﾉﾙｾﾚｸｼﾖﾝ,0,650744,ｻﾄｳﾄｼﾔ,6029201,HS-037A(ﾂｷﾋﾒ),1,1,18164,18164,ﾀﾝｶﾃｲｾｲ
20220914,10,　売上,0,,4921,企画部,332040,ﾗｸﾃﾝ ﾐﾉﾙｾﾚｸｼﾖﾝ(ｴﾝｹﾞｲ),0,651552,ﾖｼｵｶｱｷﾄ,2626001,CKZ-100(ﾎﾁﾕｳｷ)ｺﾅｼﾞﾗﾐ,1,-1,25500,-25500,ﾀﾝｶﾃｲｾｲ
20220914,10,　売上,0,,4921,企画部,332040,ﾗｸﾃﾝ ﾐﾉﾙｾﾚｸｼﾖﾝ(ｴﾝｹﾞｲ),0,651552,ﾖｼｵｶｱｷﾄ,2626001,CKZ-100(ﾎﾁﾕｳｷ)ｺﾅｼﾞﾗﾐ,1,1,25455,25455,ﾀﾝｶﾃｲｾｲ
20220914,10,　売上,0,,4921,企画部,332040,ﾗｸﾃﾝ ﾐﾉﾙｾﾚｸｼﾖﾝ(ｴﾝｹﾞｲ),0,651626,ﾂﾙｸﾎﾞﾏﾅﾐ,2626001,CKZ-100(ﾎﾁﾕｳｷ)ｺﾅｼﾞﾗﾐ,1,-1,25500,-25500,ﾀﾝｶﾃｲｾｲ
20220914,10,　売上,0,,4921,企画部,332040,ﾗｸﾃﾝ ﾐﾉﾙｾﾚｸｼﾖﾝ(ｴﾝｹﾞｲ),0,651626,ﾂﾙｸﾎﾞﾏﾅﾐ,2626001,CKZ-100(ﾎﾁﾕｳｷ)ｺﾅｼﾞﾗﾐ,1,1,25455,25455,ﾀﾝｶﾃｲｾｲ
20220914,10,　売上,0,,4921,企画部,332040,ﾗｸﾃﾝ ﾐﾉﾙｾﾚｸｼﾖﾝ(ｴﾝｹﾞｲ),0,650946,ｻﾄｳﾉﾌﾞﾕｷ,2625901,CLF-510(ｽﾏｰﾄｷﾔﾂﾁﾔｰ),1,-3,27300,-81900,ﾀﾝｶﾃｲｾｲ
20220914,10,　売上,0,,4921,企画部,332040,ﾗｸﾃﾝ ﾐﾉﾙｾﾚｸｼﾖﾝ(ｴﾝｹﾞｲ),0,650946,ｻﾄｳﾉﾌﾞﾕｷ,2625901,CLF-510(ｽﾏｰﾄｷﾔﾂﾁﾔｰ),1,3,27273,81819,ﾀﾝｶﾃｲｾｲ
20220915,10,　売上,0,,4971,有川（エクセル）,337040,ﾐﾉﾙｶﾞｰﾃﾞﾝｾﾝﾀｰ(ｴｸｾﾙ),0,620471,ﾐﾉﾙｶﾞｰﾃﾞﾝｾﾝﾀｰ ｻｻｵｶﾉｳｼﾞﾖｳ,7999001,EX128S(ﾊﾟﾊﾟｲﾔ),1,200,280,56000, 
20220914,15,クレーム出荷,0,,4851,葛城（４）,336940,ﾐﾉﾙｼﾕｳﾘﾌﾞ,0,336900, ,4886101,ﾐﾉﾙｼﾞﾕﾝｾｲHSTｵｲﾙ(10L),1,1,0,0, 
